City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
297,Houma,US,87.01,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
298,Cockburn Town,TC,81.77,clear sky,21.4612,-71.1419,Osprey Beach Hotel
304,Liverpool,GB,79.29,clear sky,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
305,Loandjili,CG,71.71,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
306,Vao,NC,73.9,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
309,Xichang,CN,71.8,light rain,27.8964,102.2634,Xichang ibis Hotel
310,Shubarkuduk,KZ,82.94,few clouds,49.1447,56.4872,Sirius
312,Kavieng,PG,84.88,light rain,-2.5744,150.7967,Nusa Island Retreat
313,Lompoc,US,79.84,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
315,Mangrol,IN,80.76,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
318,Dahanu,IN,78.55,overcast clouds,19.9667,72.7333,Pearline Beach Villas
319,Northam,GB,72.5,scattered clouds,51.0333,-4.2167,Durrant House Hotel
322,Khorinsk,RU,76.87,overcast clouds,52.1657,109.7726,Uda
326,Nara,JP,83.57,moderate rain,34.6851,135.8049,Guesthouse Nara Komachi
328,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
329,Atambua,ID,74.95,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
333,Loa Janan,ID,82.13,overcast clouds,-0.583,117.095,Kost bu jono
338,Shihezi,CN,78.35,overcast clouds,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
339,Nenjiang,CN,76.14,few clouds,49.1833,125.2167,Nenjiang Apartment
344,Praia Da Vitoria,PT,71.85,broken clouds,38.7333,-27.0667,Hotel Branco I
346,Hamilton,US,79.57,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
351,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
352,Mareeba,AU,72.48,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
353,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
356,Eureka,US,72.12,scattered clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
357,Qiongshan,CN,84.18,clear sky,20.0058,110.3542,Sun City Restaurant
360,Puerto Suarez,BO,73.49,overcast clouds,-18.95,-57.8,Hotel casa real
361,Bang Saphan,TH,82.38,scattered clouds,11.2126,99.5117,Ladawan Boutique Hotel
362,Dzemul,MX,83.05,few clouds,21.2,-89.3,Merceria 3 princesas
364,Hirara,JP,88.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
365,Zaidpur,IN,86.07,overcast clouds,26.8333,81.3333,Huzaifa tayyab home's
366,Mayo,US,81.18,scattered clouds,38.8876,-76.5119,Resorts Resource Group International
368,Sioux City,US,87.66,clear sky,42.5,-96.4003,Hilton Garden Inn Sioux City Riverfront
371,La Ronge,CA,84.42,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
373,Wageningen,NL,71.85,scattered clouds,51.9667,5.6667,Fletcher Hotel-Restaurant De Wageningsche Berg
376,Jinchang,CN,70.74,broken clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
377,Kulhudhuffushi,MV,82.17,overcast clouds,6.6221,73.07,Haajy Guest House 1
382,Chapais,CA,76.78,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
383,Zambrano,CO,79.84,overcast clouds,9.7472,-74.8153,Hotel Doña Lesbia
385,Fethiye,TR,82.27,clear sky,36.6217,29.1164,Club & Hotel Letoonia
386,San Policarpo,PH,82.45,overcast clouds,12.1791,125.5072,Agapita M. Nicart
387,Chaozhou,CN,82.26,broken clouds,23.6651,116.6379,Seven Corner View Homestay
389,Princeton,US,86.02,haze,25.5384,-80.4089,American Best Inn
393,Kuching,MY,80.82,few clouds,1.55,110.3333,Hilton Kuching
394,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
397,Sol-Iletsk,RU,75.4,clear sky,51.1631,54.9918,Raduzhnaya
399,Cayenne,GF,77.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
400,Auki,SB,84.72,scattered clouds,-8.7676,160.7034,Auki Motel
402,Trairi,BR,76.91,few clouds,-3.2778,-39.2689,janelas do mar
403,Ponta Delgada,PT,72.32,broken clouds,37.7333,-25.6667,Vila Nova Hotel
412,Pascagoula,US,87.85,clear sky,30.3658,-88.5561,Regency Inn
415,Sioux Lookout,CA,82.47,smoke,50.1001,-91.917,Knobby's Fly-In Camps
416,Ajdabiya,LY,78.57,clear sky,30.7554,20.2263,Almadina Hotel
417,Kirakira,SB,83.62,scattered clouds,-10.4544,161.9205,SanBiz Lodge
419,Tanggu,CN,85.96,overcast clouds,39.0211,117.6469,Ibis Tianjin Tanggu Hotel
420,Yaviza,PA,76.35,broken clouds,8.1537,-77.6931,Yaviza
422,Victoria,HK,87.85,overcast clouds,22.2855,114.1577,Mini Central
423,Kudahuvadhoo,MV,81.88,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
425,Xam Nua,LA,77.34,overcast clouds,20.4197,104.0439,Xee Wang Guesthouse
428,Presque Isle,US,80.46,clear sky,46.6811,-68.0159,Hampton Inn Presque Isle
429,Astoria,US,72.59,clear sky,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
431,Douglasville,US,78.28,overcast clouds,33.7515,-84.7477,"Holiday Inn Express Atlanta W (I-20) Douglasville, an IHG Hotel"
434,Najran,SA,83.05,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
438,Novo Aripuana,BR,77.81,scattered clouds,-5.1206,-60.3797,Hotel Ezequiel
441,Khandyga,RU,78.57,overcast clouds,62.6667,135.6,Apel'sin
443,Makakilo City,US,84.52,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
444,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
446,Oussouye,SN,80.69,overcast clouds,12.485,-16.5469,Auberge du Routard
447,Pitimbu,BR,75.79,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
449,Jobat,IN,74.3,overcast clouds,22.4167,74.5667,Singh house
450,Korla,CN,83.43,clear sky,41.7597,86.1469,Gulisitan Hotel
452,Topolobampo,MX,88.47,scattered clouds,25.6,-109.05,Hotel Marina Topolobampo
463,Tamandare,BR,74.73,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
466,Dingli,MT,78.87,clear sky,35.8614,14.3822,The Xara Palace Relais & Chateaux
468,Galle,LK,79.68,scattered clouds,6.0367,80.217,Amangalla
469,Taicheng,CN,73.31,overcast clouds,38.731,113.228,五台山康旅酒店
471,Fujin,CN,71.44,overcast clouds,47.26,132.0322,Xilong Hotel Fujin Shop
472,Palu,ID,80.47,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
473,Escarcega,MX,86.14,broken clouds,18.6089,-90.7454,Hotel Maria Isabel
478,Maningrida,AU,81.55,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
480,Tuy Hoa,VN,84.85,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
481,Nishihara,JP,87.46,broken clouds,26.1842,127.7558,Minshuku Agaihama
482,Ta Khmau,KH,82.45,scattered clouds,11.4833,104.95,Takhmao Good Health Hotel
486,Xunchang,CN,74.77,overcast clouds,28.4543,104.715,Jiabin Inn
487,Lantawan,PH,78.49,moderate rain,10.6167,123.9833,Durano Ecofarm and Spring Resort
492,Lewiston,US,72.72,mist,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
493,Namatanai,PG,85.12,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
494,Mabaruma,GY,74.25,broken clouds,8.2,-59.7833,Monty Brooms Guest House
498,Bubaque,GW,79.52,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
501,Green River,US,88.2,clear sky,41.5286,-109.4662,Hampton Inn & Suites Green River
502,Drayton Valley,CA,72.97,clear sky,53.2168,-114.9854,Service Plus Inns & Suites (Drayton Valley Hotel)
504,Itarema,BR,77.99,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
506,San Lawrenz,MT,79.97,clear sky,36.0553,14.204,San Andrea Hotel
507,Omboue,GA,72.18,overcast clouds,-1.5746,9.2618,Hotel Olako
508,Changli,CN,81.64,overcast clouds,39.7042,119.1506,7Days Inn Qinhuangdao Changli Jieyang Street
509,George Town,MY,78.75,scattered clouds,5.4112,100.3354,Cititel Penang
510,Shingu,JP,80.38,moderate rain,33.7333,135.9833,Shingu UI Hotel
512,Holiday,US,86.99,few clouds,28.1878,-82.7395,Fairfield Inn & Suites by Marriott Holiday Tarpon Springs
516,Mangan,IN,77.92,overcast clouds,27.5167,88.5333,Hotel Mout View
518,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
520,Harper,LR,74.55,overcast clouds,4.375,-7.7169,Screensaver
521,Shieli,KZ,80.76,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
526,Gazli,UZ,87.04,clear sky,40.1333,63.45,UTG Uy-joy kommunal xoʻjaligi
527,Estelle,US,88.0,overcast clouds,29.8458,-90.1067,Ohio
528,Lorengau,PG,82.8,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
529,Georgetown,MY,78.75,scattered clouds,5.4112,100.3354,Cititel Penang
533,Iquitos,PE,77.04,few clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
534,Yenotayevka,RU,75.04,overcast clouds,47.2456,47.0281,Hotel Voyage
536,Lethem,GY,75.87,broken clouds,3.3803,-59.7968,Savannah Inn
537,Newport,GB,78.91,scattered clouds,51.5877,-2.9984,ibis budget Newport
538,La Paz Centro,NI,81.45,overcast clouds,12.34,-86.6753,Quinta Momotombo
