City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
251,Kwekwe,ZW,-18.9281,29.8149,50.07,88,5,5.97,clear sky
252,Margate,GB,51.3813,1.3862,73.69,70,1,10.42,clear sky
253,Quatre Cocos,MU,-20.2078,57.7625,68.09,69,92,23.4,light rain
254,Portland,US,45.5234,-122.6762,81.93,48,0,14.97,clear sky
255,Chimbote,PE,-9.0853,-78.5783,61.72,88,100,8.5,overcast clouds
256,Cidreira,BR,-30.1811,-50.2056,55.44,92,1,3.51,clear sky
257,Fagernes,NO,60.9858,9.2324,51.91,94,46,3.58,scattered clouds
258,Guerrero Negro,MX,27.9769,-114.0611,75.69,61,5,15.14,clear sky
259,Arraial Do Cabo,BR,-22.9661,-42.0278,70.47,89,100,15.14,overcast clouds
260,Yar-Sale,RU,66.8333,70.8333,59.85,57,100,7.05,overcast clouds
261,Altamira,BR,-3.2033,-52.2064,76.71,71,100,1.05,overcast clouds
262,Tilichiki,RU,60.4667,166.1,61.54,61,100,7.14,overcast clouds
263,Barrow,US,71.2906,-156.7887,42.82,81,100,18.41,light rain
264,Komsomolskiy,UZ,40.4272,71.7189,75.92,31,0,4.61,clear sky
265,Ancud,CL,-41.8697,-73.8203,42.22,83,11,8.95,few clouds
266,Tecoanapa,MX,16.5167,-98.75,82.06,79,100,6.29,overcast clouds
267,Olavarria,AR,-36.8927,-60.3225,43.02,58,4,4.61,clear sky
268,Tottori,JP,35.5,134.2333,77.07,94,75,5.75,heavy intensity shower rain
269,Coquimbo,CL,-29.9533,-71.3436,55.13,87,0,3.44,clear sky
270,Erenhot,CN,43.6475,111.9767,79.25,21,100,7.78,overcast clouds
271,Kavaratti,IN,10.5669,72.642,80.76,82,100,22.21,overcast clouds
272,Ponta Do Sol,PT,32.6667,-17.1,70.43,80,0,5.28,clear sky
273,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.81,55,11,1.74,few clouds
274,Ishigaki,JP,24.3448,124.1572,87.93,84,75,16.11,broken clouds
275,Okhotsk,RU,59.3833,143.3,62.6,78,87,6.73,overcast clouds
276,Ierapetra,GR,35.01,25.7353,79.14,46,0,11.01,clear sky
277,Palora,EC,-1.7,-77.9333,64.36,99,97,2.28,moderate rain
278,Daru,PG,-9.0763,143.2092,78.4,89,73,16.89,broken clouds
279,Toppenish,US,46.3774,-120.3087,87.71,33,0,1.99,clear sky
280,Iquique,CL,-20.2208,-70.1431,59.04,79,81,2.46,broken clouds
281,Sahuaripa,MX,29.05,-109.2333,93.18,49,100,6.89,overcast clouds
282,Verkhnevilyuysk,RU,63.4453,120.3167,65.16,88,100,6.58,overcast clouds
283,Pisco,PE,-13.7,-76.2167,61.02,82,99,10.36,mist
284,Pandan,PH,14.0453,124.1694,85.17,71,35,6.44,scattered clouds
285,Tecpan,GT,14.7623,-90.9947,54.03,96,100,5.48,overcast clouds
286,Yerbogachen,RU,61.2767,108.0108,68.99,56,100,6.96,overcast clouds
287,Karonga,MW,-9.9333,33.9333,66.31,77,5,3.15,clear sky
288,Grand-Santi,GF,4.25,-54.3833,74.1,99,100,2.66,light rain
289,Geraldton,AU,-28.7667,114.6,55.81,88,0,10.36,clear sky
290,San Blas,MX,21.5167,-105.2667,85.01,70,9,3.42,clear sky
291,Guangyuan,CN,32.442,105.823,68.31,91,100,5.77,overcast clouds
292,Kimbe,PG,-5.5502,150.1429,87.87,61,94,3.29,overcast clouds
293,Muros,ES,42.7762,-9.0603,67.08,84,8,12.26,clear sky
294,Longyearbyen,SJ,78.2186,15.6401,53.44,62,40,10.36,scattered clouds
